code,name,lng,lat
110000,北京市,116.407400,39.904200
120000,天津市,117.201000,39.084200
310000,上海市,121.469200,31.232500
500000,重庆市,106.551600,29.563000
421300,随州市,113.379358,31.717858
422800,恩施土家族苗族自治州,109.491923,30.285888
430100,长沙市,112.979353,28.213478
430200,株洲市,113.131695,27.827433
430300,湘潭市,112.935556,27.835095
430400,衡阳市,112.583819,26.898164
430500,邵阳市,111.461525,27.236811
430600,岳阳市,113.146196,29.378007
420200,黄石市,115.050683,30.216127
420300,十堰市,110.801229,32.636994
420500,宜昌市,111.310981,30.732758
420600,襄阳市,112.250093,32.229169
420700,鄂州市,114.895594,30.384439
420800,荆门市,112.217330,31.042611
420900,孝感市,113.935734,30.927955
421000,荆州市,112.241866,30.332591
421100,黄冈市,114.906618,30.446109
421200,咸宁市,114.300061,29.880657
654300,阿勒泰地区,88.137915,47.839744
640500,中卫市,105.196754,37.521124
650100,乌鲁木齐市,87.564988,43.840380
650200,克拉玛依市,84.881180,45.594331
652200,哈密市,93.528355,42.858596
652300,昌吉回族自治州,87.296038,44.007058
652700,博尔塔拉蒙古自治州,82.052436,44.913651
652800,巴音郭楞蒙古自治州,86.121688,41.771362
652900,阿克苏地区,80.269846,41.171731
653000,克孜勒苏柯尔克孜自治州,76.137564,39.750346
653100,喀什地区,75.992973,39.470627
130100,石家庄市,114.522082,38.048958
130200,唐山市,118.183451,39.650531
130300,秦皇岛市,119.604368,39.945462
130400,邯郸市,114.482694,36.609308
430700,常德市,111.653718,29.012149
430800,张家界市,110.481620,29.124889
430900,益阳市,112.366547,28.588088
431000,郴州市,113.037704,25.782264
431100,永州市,111.614648,26.435972
431200,怀化市,109.986959,27.557483
431300,娄底市,111.996396,27.741073
433100,湘西土家族苗族自治州,109.745746,28.317951
440100,广州市,113.307650,23.120049
440200,韶关市,113.594461,24.802960
441700,阳江市,111.977010,21.871517
441800,清远市,113.040773,23.698469
441900,东莞市,113.763434,23.043024
442000,中山市,113.422060,22.545178
445100,潮州市,116.630076,23.661812
445200,揭阳市,116.379501,23.547999
445300,云浮市,112.050946,22.937976
450100,南宁市,108.297234,22.806493
450200,柳州市,109.422402,24.329053
450300,桂林市,110.260920,25.262901
450400,梧州市,111.305472,23.485395
450500,北海市,109.122628,21.472718
450600,防城港市,108.351791,21.617398
450700,钦州市,108.638798,21.973350
450800,贵港市,109.613708,23.103373
450900,玉林市,110.151676,22.643974
451000,百色市,106.631821,23.901512
451100,贺州市,111.552594,24.411054
451200,河池市,108.069948,24.699521
451300,来宾市,109.231817,23.741166
451400,崇左市,107.357322,22.415455
460100,海口市,110.330802,20.022071
460200,三亚市,109.522771,18.257776
510100,成都市,104.067923,30.679943
510300,自贡市,104.776071,29.359157
510400,攀枝花市,101.722423,26.587571
510500,泸州市,105.443970,28.895930
510600,德阳市,104.402398,31.131140
510700,绵阳市,104.705519,31.504701
510800,广元市,105.819687,32.441040
510900,遂宁市,105.564888,30.557491
511000,内江市,105.073056,29.599462
511100,乐山市,103.760824,29.600958
511300,南充市,106.105554,30.800965
511400,眉山市,103.841430,30.061115
511500,宜宾市,104.633019,28.769675
511600,广安市,106.635720,30.463984
511700,达州市,107.494973,31.214199
511800,雅安市,103.009356,29.999716
511900,巴中市,106.757916,31.869189
512000,资阳市,104.635930,30.132191
513200,阿坝藏族羌族自治州,102.228565,31.905763
513300,甘孜藏族自治州,101.969232,30.055144
513400,凉山彝族自治州,102.259591,27.892393
520100,贵阳市,106.709177,26.629907
520200,六盘水市,104.852087,26.591866
520300,遵义市,106.931260,27.699961
520400,安顺市,105.928270,26.228595
653200,和田地区,79.930239,37.116774
654000,伊犁哈萨克自治州,81.297854,43.922248
654200,塔城地区,82.974881,46.758684
622900,临夏回族自治州,103.215249,35.598514
623000,甘南藏族自治州,102.917442,34.992211
630100,西宁市,101.767921,36.640739
632100,海东地区,102.085207,36.517610
632200,海北藏族自治州,100.879802,36.960654
632300,黄南藏族自治州,102.007600,35.522852
632500,海南藏族自治州,100.624066,36.284364
632600,果洛藏族自治州,100.223723,34.480485
632700,玉树藏族自治州,97.013316,33.006240
632800,海西蒙古族藏族自治州,97.342625,37.373799
640100,银川市,106.206479,38.502621
640200,石嘴山市,106.379337,39.020223
640300,吴忠市,106.208254,37.993561
640400,固原市,106.285268,36.021523
440300,深圳市,114.025974,22.546054
440400,珠海市,113.562447,22.256915
440500,汕头市,116.728650,23.383908
440600,佛山市,113.134026,23.035095
440700,江门市,113.078125,22.575117
440800,湛江市,110.365067,21.257463
440900,茂名市,110.931245,21.668226
441200,肇庆市,112.479653,23.078663
441300,惠州市,114.410658,23.113540
441400,梅州市,116.126403,24.304571
441500,汕尾市,115.372924,22.778731
441600,河源市,114.713721,23.757251
131000,廊坊市,116.703602,39.518611
131100,衡水市,115.686229,37.746929
140100,太原市,112.550864,37.890277
140200,大同市,113.290509,40.113744
140300,阳泉市,113.569238,37.869529
140400,长治市,113.120292,36.201664
140500,晋城市,112.867333,35.499834
140600,朔州市,112.479928,39.337672
140700,晋中市,112.738514,37.693362
140800,运城市,111.006854,35.038859
140900,忻州市,112.727939,38.461031
141000,临汾市,111.538788,36.099745
141100,吕梁市,111.143157,37.527316
150100,呼和浩特市,111.660351,40.828319
150200,包头市,109.846239,40.647119
150300,乌海市,106.831999,39.683177
150400,赤峰市,118.930761,42.297112
150500,通辽市,122.260363,43.633756
150600,鄂尔多斯市,109.993706,39.816490
150700,呼伦贝尔市,119.760822,49.201636
150800,巴彦淖尔市,107.423807,40.769180
150900,乌兰察布市,113.112846,41.022363
152200,兴安盟,114.415868,43.468238
152500,锡林郭勒盟,114.415868,43.468238
152900,阿拉善盟,114.415868,43.468238
210100,沈阳市,123.432791,41.808645
210200,大连市,121.593478,38.948710
210300,鞍山市,123.007763,41.118744
210400,抚顺市,123.929820,41.877304
210500,本溪市,123.778062,41.325838
210600,丹东市,124.338543,40.129023
210700,锦州市,121.147749,41.130879
210800,营口市,122.233391,40.668651
210900,阜新市,121.660822,42.019250
211000,辽阳市,123.172451,41.273339
211100,盘锦市,122.073228,41.141248
211200,铁岭市,123.854850,42.299757
211300,朝阳市,120.446163,41.571828
211400,葫芦岛市,120.860758,40.743030
220100,长春市,125.313642,43.898338
220200,吉林市,126.564544,43.871988
220300,四平市,124.391382,43.175525
220400,辽源市,125.133686,42.923303
220500,通化市,125.942650,41.736397
220600,白山市,126.435798,41.945859
220700,松原市,124.832995,45.136049
220800,白城市,122.840777,45.621086
222400,延边朝鲜族自治州,129.485902,42.896414
230100,哈尔滨市,126.657717,45.773225
130500,邢台市,114.520487,37.069531
130600,保定市,115.494810,38.886565
130700,张家口市,114.893782,40.811188
130800,承德市,117.933822,40.992521
130900,沧州市,116.863806,38.297615
230200,齐齐哈尔市,123.987289,47.347700
230300,鸡西市,130.941767,45.321540
230400,鹤岗市,130.292472,47.338666
